category,institute_id,name,city,state,score,rank
College,IR-C-C-41100,Sri Ramakrishna College of Arts and Science,Coimbatore,Tamil Nadu,56.8,76
College,IR-C-C-28526,"Alagappa Government Arts College, Karaikudi",Karaikudi,Tamil Nadu,56.8,76
College,IR-C-C-8008,"Vimala College, Thrissur",Thrissur,Kerala,56.59,78
College,IR-C-C-35846,"Rajah Serfoji Government College, Thanjavur - 613 005.",Thanjavur,Tamil Nadu,56.57,79
College,IR-C-C-36411,Sacred Heart College (Autonomous),Tirupattur,Tamil Nadu,56.54,80
College,IR-C-C-9552,Sri Sarada College for Women(Autonomous),Salem,Tamil Nadu,56.47,81
College,IR-C-C-8023,"Farook College, Kozhikkode",Kozhikode,Kerala,55.83,82
College,IR-C-I-1322,St. Joseph's College,Thrissur,Kerala,55.81,83
College,IR-C-C-35832,"Jamal Mohamed College, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,55.67,84
College,IR-C-C-6420,Jesus & Mary College,New Delhi,Delhi,55.66,85
College,IR-C-C-11771,CMS College Kottayam,Kottayam,Kerala,55.58,86
College,IR-C-C-8213,Christ College (Autonomous),Thrissur,Kerala,55.51,87
College,IR-C-C-41140,A.P.C. Mahalaxmi College for Women,Thoothukkudi,Tamil Nadu,55.44,88
College,IR-C-C-33555,St. Xavier`s College,Mumbai,Maharashtra,55.16,89
College,IR-C-C-6358,Ram Lal Anand College,New Delhi,Delhi,55.1,90
College,IR-C-C-43968,DG Vaishnav College,Chennai,Tamil Nadu,55.03,91
College,IR-C-C-11815,Mar Athanasius College,Kothamangalam,Kerala,54.97,92
College,IR-C-C-43229,"Shri Shivaji Science College , Morshi Road , Amravati.",Amravati,Maharashtra,54.76,93
College,IR-C-I-1293,Sri Ramakrishna Mission Vidyalaya College of Arts and Science,Coimbatore,Tamil Nadu,54.66,94
College,IR-C-C-6381,Keshav Mahavidyalya,Delhi,Delhi,54.61,95
College,IR-C-C-11742,Union Christian College,Ernakulam,Kerala,54.55,96
College,IR-C-C-22467,PGDAV College,New Delhi,Delhi,54.52,97
College,IR-C-C-20830,St. Joseph`s College of Commerce,Bengaluru,Karnataka,54.47,98
College,IR-C-C-43646,"Government College, Attingal",Thiruvananthapuram,Kerala,54.42,99
College,IR-C-C-36529,Fatima College,Madurai,Tamil Nadu,54.39,100
Engineering,IR-E-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,88.72,1
Engineering,IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,85.74,2
Engineering,IR-E-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,83.65,3
Engineering,IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,81.82,4
Engineering,IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,78.69,5
Engineering,IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,75.44,6
Engineering,IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,72.31,7
Engineering,IR-E-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,72.24,8
Engineering,IR-E-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,68.14,9
Engineering,IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,67.24,10
Engineering,IR-E-U-0391,Birla Institute of Technology & Science -Pilani,Pilani,Rajasthan,67.02,11
Engineering,IR-E-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,66.65,12
Engineering,IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,66.62,13
Engineering,IR-E-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,65.83,14
Engineering,IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,65.37,15
Engineering,IR-E-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,65.25,16
Engineering,IR-E-U-0237,"National Institute of Technology Karnataka, Surathkal",Surathkal,Karnataka,64.59,17
Engineering,IR-E-U-0575,Jadavpur University,Kolkata,West Bengal,64.54,18
Engineering,IR-E-U-0064,Indian Institute of Technology Patna,Patna,Bihar,64.52,19
Engineering,IR-E-U-0439,Anna University,Chennai,Tamil Nadu,63.51,20
Engineering,IR-E-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,63.05,21
Engineering,IR-E-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,62.58,22
Engineering,IR-E-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,62.46,23
Engineering,IR-E-U-0108,Jamia Millia Islamia,New Delhi,Delhi,62.42,24
Engineering,IR-E-U-0139,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,62.31,25
Engineering,IR-E-U-0184,Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,62.08,26
Engineering,IR-E-U-0395,Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,61.31,27
Engineering,IR-E-U-0025,National Institute of Technology Warangal,Warangal,Telangana,61.05,28
Engineering,IR-E-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,60.97,29
Engineering,IR-E-U-0098,Delhi Technological University,New Delhi,Delhi,60.85,30
Engineering,IR-E-U-0747,Chandigarh University,Mohali,Punjab,60.46,31
Engineering,IR-E-U-0378,Indian Institute of Technology Ropar,Rupnagar,Punjab,59.66,32
Engineering,IR-E-U-0458,Kalasalingam Academy of Research and Education,Krishnan Koil,Tamil Nadu,59.03,33
Engineering,IR-E-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,59.01,34
Engineering,IR-E-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,58.95,35
Engineering,IR-E-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,58.79,36
Engineering,IR-E-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,58.53,37
Engineering,IR-E-U-0014,International Institute of Information Technology Hyderabad,Hyderabad,Telangana,58.45,38
Engineering,IR-E-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,58.22,39
Engineering,IR-E-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,58.02,40
Engineering,IR-E-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,57.96,41
Engineering,IR-E-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,57.45,42
Engineering,IR-E-U-0564,UPES,Dehradun,Uttarakhand,56.99,43
Engineering,IR-E-U-0334,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Maharashtra,56.58,44
Engineering,IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,56.55,45
Engineering,IR-E-U-0329,Symbiosis International,Pune,Maharashtra,56.22,46
Engineering,IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,56.08,47
Engineering,IR-E-U-0379,Lovely Professional University,Phagwara,Punjab,55.99,48
Engineering,IR-E-U-0577,National Institute of Technology Durgapur,Durgapur,West Bengal,55.94,49
Engineering,IR-E-U-0055,National Institute of Technology Silchar,Silchar,Assam,55.91,50
Engineering,IR-E-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,55.28,51
Engineering,IR-E-U-0555,Graphic Era University,Dehradun,Uttarakhand,55.26,52
Engineering,IR-E-U-0072,National Institute of Technology Patna,Patna,Bihar,53.89,53
Engineering,IR-E-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,53.63,54
Engineering,IR-E-U-0374,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Jalandhar,Punjab,53.38,55
Engineering,IR-E-U-0906,Indian Institute of Technology Jammu,Jammu,Jammu and Kashmir,53.08,56
Engineering,IR-E-U-0844,"Indian Institute of Technology, Tirupati",Tirupati,Andhra Pradesh,52.73,57
Engineering,IR-E-U-0749,Manipal University Jaipur,Jaipur,Rajasthan,52.69,58
Engineering,IR-E-C-7252,Manipal Institute of Technology,Manipal,Karnataka,52.55,59
Engineering,IR-E-U-0739,Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,52.45,60
Engineering,IR-E-U-0255,Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,52.44,61
Engineering,IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,52.15,62
Engineering,IR-E-U-0105,Indraprastha Institute of Information Technology,New Delhi,Delhi,51.33,63
Engineering,IR-E-U-0878,Indian Institute of Technology Palakkad,Palakkad,Kerala,51.2,64
Engineering,IR-E-U-0622,National Institute of Technology Delhi,Delhi,Delhi,50.79,65
Engineering,IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,SURAT,Gujarat,50.77,66
Engineering,IR-E-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,50.64,67
Engineering,IR-E-C-37013,PSG College of Technology,Coimbatore,Tamil Nadu,50.64,67
Engineering,IR-E-U-0221,International Institute of Information Technology Bangalore,Bengaluru,Karnataka,50.46,69
Engineering,IR-E-C-6379,Netaji Subhas University of Technology (NSUT),Delhi,Delhi,50.43,70
Engineering,IR-E-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,50.38,71
Engineering,IR-E-U-0946,Indian Institute of Technology Bhilai,Durg,Chhattisgarh,50.37,72
Engineering,IR-E-U-0197,National Institute of Technology Srinagar,Srinagar,Jammu and Kashmir,50.23,73
Engineering,IR-E-U-0042,University of Hyderabad,Hyderabad,Telangana,49.36,74
Engineering,IR-E-C-1331,M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,49.26,75
Engineering,IR-E-U-0217,Christ University,Bengaluru,Karnataka,49.03,76
Engineering,IR-E-U-0899,Indian Institute of Technology Dharwad,Dharwad,Karnataka,48.61,77
Engineering,IR-E-U-0535,Rajiv Gandhi Institute of Petroleum Technology,Amethi,Uttar Pradesh,48.52,78
Engineering,IR-E-U-0384,Sant Longowal Institute of Engineering & Technology,Longowal,Punjab,48.42,79
Engineering,IR-E-U-0043,"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,48.27,80
Engineering,IR-E-U-0284,Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,48.26,81
Engineering,IR-E-U-0207,"National Institute of Technology, Jamshedpur",Jamshedpur,Jharkhand,48.25,82
Engineering,IR-E-U-0619,National Institute of Technology Meghalaya,Shillong,Meghalaya,48.21,83
Engineering,IR-E-U-0223,"Jain university,Bangalore",Bengaluru,Karnataka,48.01,84
Engineering,IR-E-U-0172,National Institute of Technology Kurukshetra,Kurukshetra,Haryana,47.98,85
Engineering,IR-E-U-0092,"National Institute of Technology, Raipur",Raipur,Chhattisgarh,47.59,86
Engineering,IR-E-U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Chennai,Tamil Nadu,47.43,87
Engineering,IR-E-C-24004,AU College of Engineering (A),Visakhapatnam,Andhra Pradesh,47.37,88
Engineering,IR-E-U-0373,Chitkara University,Rajpura,Punjab,47.34,89
Engineering,IR-E-U-1257,COEP Technological University,Pune,Maharashtra,47.31,90
Engineering,IR-E-C-19754,SR University,Warangal,Telangana,47.16,91
Engineering,IR-E-U-0297,Defence Institute of Advanced Technology,Pune,Maharashtra,46.98,92
Engineering,IR-E-U-0078,Panjab University,Chandigarh,Chandigarh,46.9,93
Engineering,IR-E-U-0017,Jawaharlal Nehru Technological University,Hyderabad,Telangana,46.74,94
Engineering,IR-E-C-30045,"C.V. Raman Global University, Odisha",Bhubaneswar,Odisha,46.62,95
Engineering,IR-E-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh,46.25,96
Engineering,IR-E-U-0189,National Institute of Technology Hamirpur,Hamirpur,Himachal Pradesh,46.1,97
Engineering,IR-E-U-0147,Pandit Deendayal Energy University,Gandhinagar,Gujarat,45.97,98
Engineering,IR-E-U-0621,National Institute of Technology Puducherry,Karaikal,Pondicherry,45.83,99
Engineering,IR-E-C-36995,Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,45.55,100
Management,IR-M-S-8890,Indian Institute of Management Ahmedabad,Ahmedabad,Gujarat,83.29,1
Management,IR-M-S-8903,Indian Institute of Management Bangalore,Bengaluru,Karnataka,81.56,2
Management,IR-M-S-8909,Indian Institute of Management Kozhikode,Kozhikode,Kerala,79.85,3
Management,IR-M-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,78.94,4
Management,IR-M-S-8959,Indian Institute of Management Lucknow,Lucknow,Uttar Pradesh,77.97,5
Management,IR-M-S-8931,"Indian Institute of Management, Mumbai",Mumbai,Maharashtra,77.58,6
