institute_id,category,institute_name,intake_total_2022_23,student_strength_total,student_strength_male,student_strength_female,faculty_count,phd_students_fulltime,phd_students_parttime,phd_graduated_2022_23,placement_median_salary_inr,capital_expenditure_2022_23,operational_expenditure_2022_23,sponsored_projects_2022_23,sponsored_amount_2022_23,nirf_score,nirf_rank,scorecard_year
IR-O-U-0444,University,Avinashilingam Institute for Home Science & Higher Education for Women,2050,4701,6725,6725,486,371.0,353.0,53.0,350000,113410628,1162284393,18.0,102819000.0,47.09,99.0,2025
IR-O-U-0446,University,Bharath Institute of Higher Education & Research,5115,18977,9151,9826,1614,294.0,748.0,63.0,2400000,2659263124,4566074992,211.0,29856730.0,49.59,76.0,2025
IR-O-U-0447,University,Bharathiar University,1729,3190,1324,1866,226,520.0,179.0,129.0,675000,198363517,956666838,105.0,271129694.0,54.42,46.0,2025
IR-O-U-0448,University,Bharathidasan University,1425,3083,1545,1538,292,409.0,132.0,191.0,250560,130164584,916765637,73.0,440294426.0,55.85,36.0,2025
IR-O-U-0449,University,Central University of Tamil Nadu,860,1811,737,1074,177,284.0,55.0,55.0,496000,79216862,702453203,89.0,91525408.0,49.13,83.0,2025
IR-O-U-0451,University,Chettinad Academy of Research and Education,861,3001,1314,1687,275,216.0,495.0,18.0,1850000,1191619682,2847268554,41.0,27205575.0,51.06,61.0,2025
IR-O-U-0458,University,Kalasalingam Academy of Research and Education,3426,9937,4292,5645,709,582.0,236.0,128.0,575000,361975193,2073571107,28.0,25410374.0,58.37,28.0,2025
IR-O-U-0463,University,Madurai Kamaraj University,983,1878,972,994,183,342.0,811.0,55.0,266066,80669360,758475093,78.0,172409523.0,49.07,85.0,2025
IR-O-U-0464,University,"Manonmaniam Sundaranar University, Tirunelveli",1138,2397,844,1553,228,296.0,135.0,57.0,240000,36241547,1129140001,8.0,54725809.0,,,2024
IR-O-U-0470,University,Periyar University,1213,2077,735,1342,213,272.0,260.0,65.0,250000,42062038,501403246,9.0,2947986.0,47.98,94.0,2025
IR-O-U-0473,University,S.R.M. Institute of Science and Technology,22757,60645,34399,26246,4466,1760.0,881.0,360.0,690000,3024239669,16918498520,127.0,203093412.0,65.26,11.0,2025
IR-O-U-0474,University,Sathyabama Institute of Science and Technology,5332,16642,8134,8529,1407,552.0,362.0,67.0,1100000,971242328,2021376688,176.0,59341089.0,52.52,53.0,2025
IR-O-U-0476,University,Shanmugha Arts Science Technology & Research Academy,3575,11847,5759,6088,847,686.0,127.0,138.0,550000,858270364,3161550617,84.0,290180703.0,58.06,29.0,2025
IR-O-U-0485,University,Tamil Nadu Agricultural University,2893,9239,3062,6177,934,531.0,0.0,219.0,620000,478534038,8475365297,520.0,774455514.0,49.8,73.0,2025
IR-O-U-0489,University,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,3450,11119,8813,2306,737,149.0,362.0,8.0,500000,58869603,884053375,20.0,9107567.0,,,2024
IR-O-U-0490,University,Vellore Institute of Technology,13660,54253,38062,16202,3352,4516.0,626.0,441.0,800000,1766939930,9439151636,201.0,202868433.0,64.64,14.0,2025
